Date,Adj_Close,Volume
"May 5, 2025",249.25,11820600
"Apr 28, 2025",252.51,43457400
"Apr 21, 2025",243.55,51188200
"Apr 14, 2025",231.96,42806800
"Apr 7, 2025",236.20,105603400
"Mar 31, 2025",208.99,73775700
"Mar 24, 2025",241.36,51490600
"Mar 17, 2025",240.15,57706900
"Mar 10, 2025",231.02,81514200
"Mar 3, 2025",240.80,60867200
"Feb 24, 2025",263.03,44596300
"Feb 17, 2025",262.62,41609300
"Feb 10, 2025",274.90,36595000
"Feb 3, 2025",274.11,33834100
"Jan 27, 2025",265.66,38532400
"Jan 20, 2025",263.22,41150000
"Jan 13, 2025",257.57,73831600
"Jan 6, 2025",237.18,37603300
"Dec 30, 2024",240.55,29306800
"Dec 23, 2024",238.46,22522600
"Dec 16, 2024",234.93,72577200
"Dec 9, 2024",237.25,40575700
"Dec 2, 2024",244.58,34995900
"Nov 25, 2024",246.92,27474600
"Nov 18, 2024",245.76,41641400
"Nov 11, 2024",242.56,49041700
"Nov 4, 2024",234.32,63771300
"Oct 28, 2024",220.44,35287300
"Oct 21, 2024",219.81,34009200
"Oct 14, 2024",222.84,38137900
"Oct 7, 2024",219.79,46012500
"Sep 30, 2024",207.58,40477800
"Sep 23, 2024",206.87,38363200
"Sep 16, 2024",207.45,56988300
"Sep 9, 2024",200.80,70283200
"Sep 2, 2024",208.79,32190500
"Aug 26, 2024",220.92,31787000
"Aug 19, 2024",214.54,29394200
"Aug 12, 2024",210.28,35255800
"Aug 5, 2024",202.25,47038600
"Jul 29, 2024",195.70,53416200
"Jul 22, 2024",208.58,34771100
"Jul 15, 2024",206.16,54360200
"Jul 8, 2024",201.40,52195900
"Jul 1, 2024",200.15,31662700
"Jun 24, 2024",197.68,47681500
"Jun 17, 2024",191.85,47452000
"Jun 10, 2024",189.39,43519600
"Jun 3, 2024",195.42,36249000
"May 27, 2024",198.04,34277800
"May 20, 2024",196.16,56644200
"May 13, 2024",200.15,41773800
"May 6, 2024",194.26,32423500

