Date,Close,Volume
"May 5, 2025",549.36,5099700
"Apr 28, 2025",566.10,11059600
"Apr 21, 2025",544.86,12258300
"Apr 14, 2025",509.49,12247400
"Apr 7, 2025",494.44,26763500
"Mar 31, 2025",470.81,20184500
"Mar 24, 2025",543.12,10571400
"Mar 17, 2025",565.14,14203300
"Mar 10, 2025",541.41,17877900
"Mar 3, 2025",559.67,18215800
"Feb 24, 2025",622.29,13894700
"Feb 17, 2025",625.60,11233500
"Feb 10, 2025",660.55,11636600
"Feb 3, 2025",655.90,10810100
"Jan 27, 2025",640.40,11417600
"Jan 20, 2025",636.90,13678600
"Jan 13, 2025",625.94,15862600
"Jan 6, 2025",560.00,8610200
"Dec 30, 2024",580.13,5963300
"Dec 23, 2024",576.18,5010900
"Dec 16, 2024",566.10,14568200
"Dec 9, 2024",585.48,8862700
"Dec 2, 2024",599.68,8218000
"Nov 25, 2024",608.57,8382000
"Nov 18, 2024",602.78,9619200
"Nov 11, 2024",593.54,10345000
"Nov 4, 2024",589.26,19200100
"Oct 28, 2024",519.35,8097000
"Oct 21, 2024",512.60,8294700
"Oct 14, 2024",528.50,13252000
"Oct 7, 2024",516.30,7884600
"Sep 30, 2024",495.16,7588400
"Sep 23, 2024",498.51,6550700
"Sep 16, 2024",498.43,12158000
"Sep 9, 2024",478.99,11000500
"Sep 2, 2024",479.61,7706900
"Aug 26, 2024",510.25,7035400
"Aug 19, 2024",509.42,6763300
"Aug 12, 2024",504.26,7947900
"Aug 5, 2024",490.26,12533200
"Jul 29, 2024",470.64,17023200
"Jul 22, 2024",499.03,9151000
"Jul 15, 2024",484.93,16811700
"Jul 8, 2024",479.88,13664600
"Jul 1, 2024",464.75,5930000
"Jun 24, 2024",452.32,12322200
"Jun 17, 2024",450.18,9329800
"Jun 10, 2024",446.46,8778000
"Jun 3, 2024",454.91,8778700
"May 27, 2024",456.52,9019800
"May 20, 2024",461.18,12270300
"May 13, 2024",467.72,9936400
"May 6, 2024",454.73,8599000
